,Property,Description,Type,Default,Version
0,align,Vertical alignment,top | middle | bottom | stretch | {[key in 'xs' | 'sm' | 'md' | 'lg' | 'xl' | 'xxl']: 'top' | 'middle' | 'bottom' | 'stretch'},top,object: 4.24.0
1,gutter,"Spacing between grids, could be a number or a object like { xs: 8, sm: 16, md: 24}. Or you can use array to make horizontal and vertical spacing work at the same time [horizontal, vertical]",number | object | array,0,
2,justify,Horizontal arrangement,start | end | center | space-around | space-between | space-evenly | {[key in 'xs' | 'sm' | 'md' | 'lg' | 'xl' | 'xxl']: 'start' | 'end' | 'center' | 'space-around' | 'space-between' | 'space-evenly'},start,object: 4.24.0
3,wrap,Auto wrap line,boolean,true,4.8.0
