,Property,Description,Type,Default,Version
0,delay,Specifies a delay in milliseconds for loading state (prevent flush),number (milliseconds),-,
1,indicator,React node of the spinning indicator,ReactNode,-,
2,size,"The size of Spin, options: small, default and large",string,default,
3,spinning,Whether Spin is visible,boolean,true,
4,tip,Customize description content when Spin has children,ReactNode,-,
5,wrapperClassName,The className of wrapper when Spin has children,string,-,
6,fullscreen,Display a backdrop with the Spin component,boolean,false,5.11.0
