,Property,Description,type,Default,Version
0,vertical,"Is direction of the flex vertical, use flex-direction: column",boolean,false,
1,wrap,Set whether the element is displayed in a single line or in multiple lines,reference flex-wrap,nowrap,
2,justify,Sets the alignment of elements in the direction of the main axis,reference justify-content,normal,
3,align,Sets the alignment of elements in the direction of the cross axis,reference align-items,normal,
4,flex,flex CSS shorthand properties,reference flex,normal,
5,gap,Sets the gap between grids,small | middle | large | string | number,-,
6,component,custom element type,React.ComponentType,div,
