,Property,Description,Type,Default
0,active,Show animation effect,boolean,false
1,avatar,Show avatar placeholder,boolean | SkeletonAvatarProps,false
2,loading,Display the skeleton when true,boolean,-
3,paragraph,Show paragraph placeholder,boolean | SkeletonParagraphProps,true
4,round,Show paragraph and title radius when true,boolean,false
5,title,Show title placeholder,boolean | SkeletonTitleProps,true
