,Property,Description,Type,Default,Version
0,className,The className of Icon,string,-,
1,rotate,Rotate by n degrees (not working in IE9),number,-,
2,spin,Rotate icon with animation,boolean,false,
3,style,"The style properties of icon, like fontSize and color",CSSProperties,-,
4,twoToneColor,Only supports the two-tone icon. Specify the primary color,string (hex color),-,
