,Property,Description,Type,Default,Version
0,children,The wrapped title,ReactNode,-,
1,className,The className of container,string,-,
2,dashed,Whether line is dashed,boolean,false,
3,orientation,The position of title inside divider,left | right | center,center,
4,orientationMargin,"The margin-left/right between the title and its closest border, while the orientation must be left or right, If a numeric value of type string is provided without a unit, it is assumed to be in pixels (px) by default.",string | number,-,
5,plain,Divider text show as plain style,boolean,true,4.2.0
6,style,The style object of container,CSSProperties,-,
7,type,The direction type of divider,horizontal | vertical,horizontal,
