,Property,Description,Type,Default,Version
0,component,"Config render element, if false will not create DOM node",ComponentType,div,5.11.0
1,message,Global config for Message,MessageConfig,-,5.3.0
2,notification,Global config for Notification,NotificationConfig,-,5.3.0
